,hashtags,goldtruths,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
692,bnetraffic,"['bne traffic', 'BNE traffic', 'BNETraffic']",bnetraffic,b netraffic,bn e traffic,b netr affic,bne traffic,b ne traffic,b n e traffic,bn etraffic,bnet raffic,bnet raffi c
693,Morrissey,['Morrissey'],Morrissey,Mor rissey,Morris se y,M or rissey,Morrisse y,M orrissey,Morris sey,Morriss ey,Morris s ey,Mor risse y
694,IDPRelief,['IDP Relief'],IDP Relief,I DP Relief,I D P Relief,IDPR elief,IDP R elief,ID P Relief,IDPRelief,IDP Re lief,ID PRelief,IDP Rel ief
695,websitefail,['website fail'],website fail,web site fail,website fa il,website fa i l,website fai l,web site fa il,websitefail,web sitefail,w ebsite fail,website f ail
696,rejectprop8,"['reject prop 8', 'reject prop 8']",reject prop8,rejectprop8,reject pro p8,rejectpro p8,r eject prop 8,reject prop 8,rejectprop 8,reject pr op 8,r eject prop8,reject pr op8
697,Tweetie,['Tweetie'],Tweetie,T weetie,Tweeti e,Twe etie,T weet ie,Tweet ie,Tweet i e,Twee tie,Tw eetie,T weet i e
698,Steve,['Steve'],Steve,S t e v e,St e v e,St eve,Ste ve,Stev e,Ste v e,S t eve,S teve,St e ve
699,tltsym09,"['TLT SYM 09', 'tltsym09', 'tltsym 09', 'tlt sym 09']",tlt sym 09,tlt sym09,t ltsym09,tlt sy m09,tltsym09,tlt sym 0 9,tlt sym0 9,tltsym 09,t ltsy m09,t lt sym 09
700,gojaysgo,"['go jays go', 'go Jays go']",gojaysgo,g ojaysgo,go jay sgo,go jay s go,g ojays g o,go jaysgo,go jays go,gojays go,g ojays go,gojay sgo
701,liloven,"['lil oven', 'lil  oven', 'lil oven', 'lil oven', 'li l oven', 'lil Oven']",liloven,lil oven,li loven,li lo ven,lil o ven,li love n,lilove n,lilo ven,l i love n,li lov en
702,fringefailure,['fringe failure'],fringe failure,fringefailure,f ringe failure,fring efailure,fringe fail ure,fring e failure,f ring e failure,f ring efailure,fr inge failure,fringe failur e
703,smxlondon,"['smx london', 'SMX London']",smx london,sm x london,s mx london,s m x london,smxlondon,sm xlondon,s m xlondon,s mxlondon,smxlon don,sm xlon don
704,savechuck,"['save Chuck', 'save chuck']",save chuck,sav e chuck,s avec huck,savechuck,save ch uck,s ave chuck,s a ve chuck,sa ve chuck,savec huck,sa vechuck
705,tweetjack,['tweet jack'],tweetjack,tweet ja ck,twee tjack,tweetj ack,t weetjack,tweet jack,tweet j ack,twe et jack,tweet ja c k,t weet jack
706,DEMF,['DEMF'],DEMF,DEM F,D E M F,DE MF,,,,,,
707,cua09,"['cua 09', 'CUA 09', 'cua09']",cua09,c u a 09,cu a 09,c u a09,cua 09,cua 0 9,cu a09,cua0 9,c ua09,c ua 09
708,SaveMeFromHell,['Save Me From Hell'],Save Me From Hell,SaveMe From Hell,Save Me FromHell,SaveMeFrom Hell,SaveMe FromHell,Save MeFromHell,Save MeFrom Hell,SaveMeFromHell,S ave Me From Hell,Save Me From He ll
709,cancer,['cancer'],cancer,canc er,ca ncer,c ance r,can cer,cance r,c anc er,c ancer,c anc e r,ca nc er
710,140Sunday,['140 Sunday'],140 Sunday,140Sunday,1 40 Sunday,140 Sun day,1 40Sunday,14 0 Sunday,1 4 0 Sunday,14 0Sunday,1 4 0Sunday,140Sun day
711,WNTW,['WNTW'],WNTW,W N T W,WNT W,WN TW,,,,,,
712,epicfail,['epic fail'],epic fail,ep ic fail,e picfail,epi cfail,epic fai l,epi c fail,epicfail,e pic fail,ep icfail,epicfai l
713,mountainjam,['mountain jam'],mountainjam,mountain j am,mountain j a m,mountainj a m,mountain jam,mountainja m,mountainj am,mountain ja m,mounta in jam,mounta injam
714,lulz,['lulz'],lulz,lul z,l u l z,lu lz,,,,,,
715,delongeday,['delonge day'],delonge day,de longe day,de longeda y,del ongeday,de longeday,delongeda y,delongeday,del onge day,delong eday,de long e day
716,kettlebells,['kettlebells'],kettlebells,kettlebell s,kettle b ells,kett le bells,kettlebel ls,kettle bells,kettle bell s,kettleb ells,ke ttle bells,kett lebells
717,linux,['linux'],linux,lin ux,li nux,lin u x,l in ux,linu x,l inux,l in u x,li n u x,li n ux
718,aacr,['aacr'],aacr,aa cr,a a c r,a a cr,,,,,,
719,xmenorigins,"['xmen origins', 'xmen origins', 'x men origins']",xmenorigins,x men origins,x me n origins,xmen origin s,x men origin s,x m en origins,xmen origins,x menorigins,xm en origins,xme n origins
720,dunkindonuts,['dunkin donuts'],dunkin donuts,dunkin do nuts,dunkin donut s,dunk indo nuts,dun kin donuts,dunki n donuts,dunkindonuts,dunk in donuts,dunk i n donuts,dunkindo nuts
721,Canucks,['Canucks'],Canucks,C anucks,Ca nucks,Can u cks,C an ucks,C a nu cks,Canuck s,Can ucks,Can uck s,C a nucks
722,cramps,['cramps'],cramps,cr amps,cramp s,cra mps,c ramp s,c ramps,cram ps,c r amps,cram p s,cr amp s
723,punchdrunk,['punchdrunk'],punchdrunk,p unch drunk,punch d runk,pun ch drunk,punch drunk,punch d run k,punchd runk,punchdr unk,punch dr unk,punchdrun k
724,tweetie,['tweetie'],tweetie,tweet ie,t weetie,twe et ie,twee ti e,tweet i e,twee tie,tweeti e,twe etie,tw eetie
725,30secondstomars,['30 seconds to mars'],30 seconds to mars,30 seconds to mar s,30 second stomars,30 seconds tom ars,30seconds to mars,30 seconds tomars,30 second st omars,30 seconds to ma rs,30seconds tomars,30 seconds toma rs
726,sambradley,"['sam bradley', 'Sam Bradley']",sam bradley,s ambradley,sa mbradley,sam brad ley,sambrad ley,sambradley,s am bradley,samb radley,sam b radley,s am brad ley
727,LOSNOTC,['losnotc'],LO SNOTC,L O SNOTC,L OSN OTC,L O SNOT C,LO SN OTC,LO SNOT C,LO SNO TC,L O S NOT C,L O SN OTC,L O SNO TC
728,mf09,"['mf 09', 'mf09', 'MF 09']",mf09,mf 09,m f09,m f 09,,,,,,
729,s1e8,"['s1e8', 's1 e8']",s1e8,s1 e8,s1e 8,s 1e 8,,,,,,
730,PaperHeroes,['Paper Heroes'],Paper Heroes,Paper Hero es,Pape r Heroes,Pap er Heroes,P aper Heroes,PaperHeroes,PaperHero es,Pa per Heroes,Paper He roes,Paper Heroe s
731,fifthsummit,['fifth summit'],fifth summit,fif th summit,fif thsummit,fifth s ummit,fifthsummit,fifths ummit,fifth sum mit,fift h summit,fi fth summit,f if th summit
732,bees,['bees'],bees,be es,b e e s,bee s,,,,,,
733,beta1,"['beta1', 'beta 1']",beta1,bet a 1,b eta1,be t a 1,beta 1,bet a1,b eta 1,b et a1,b et a 1,be ta 1
734,Bangalore,['Bangalore'],Bangalore,Banga lore,Bang a lore,Bangalor e,Bangal ore,Ban galore,B an galore,B angalore,Bangalo re,Bang alore
735,chromesucks,['chrome sucks'],chrome sucks,chrome suck s,chromesuck s,ch rome sucks,chromes ucks,chro mesucks,chromesucks,chro me sucks,chrom e sucks,chrome s ucks
736,SanctuarySunday,"['Sanctuary Sunday', 'sanctuary sunday']",Sanctuary Sunday,SanctuarySun day,Sanctuary Sunda y,SanctuarySunday,Sanctuary Sun day,S anctuary Sunday,S anctuarySunday,Sanctuary Sun da y,Sanctuary Sun d ay,Sanctuar y Sunday
737,Heroes,['Heroes'],Heroes,Heroe s,He roes,H e roes,Her o e s,Her o es,Hero es,H eroes,Her oes,H er oes
738,tweetup,"['tweetup', 'tweet up']",tweetup,t weetup,twee tup,t weet up,tweetu p,tweet up,tweet u p,twe et up,twee t up,tw eet up
739,pussycatis,['pussy cat is'],pussycatis,pussy catis,pussycat i s,pus sy catis,pussy ca tis,pussycat is,pussy cat is,pussy cat i s,pussy cati s,pus sycatis
740,canucks,['canucks'],canucks,ca nucks,can ucks,can uck s,ca n ucks,canuck s,c anucks,can u cks,ca nu cks,canu cks
741,twssthurs,['twss thurs'],twssthurs,t wss thurs,tw s s th urs,tws sthurs,twss thurs,tw ssthurs,tw ss thurs,tw ss th urs,t wssthurs,twssth urs
742,photog,['photog'],photog,phot og,phot o g,pho to g,ph o to g,p ho to g,photo g,p hotog,ph otog,p ho tog
743,euroko,['euroko'],euroko,eu roko,eur oko,eur ok o,euro k o,eu rok o,euro ko,e uroko,eurok o,eu ro ko
744,cloudfail,['cloud fail'],cloudfail,cloud fail,cloudfai l,cloud fai l,cloud f ail,c loud fail,cloud fa il,c loudfail,clou d fail,cloud fa i l
745,googlechrome,"['Google Chrome', 'google chrome']",google chrome,goog lechrome,google chrom e,google chro me,googl echrome,googlechrome,googlechrom e,goog le chrome,go ogle chrome,googl e chrome
746,idiotictwitterapps,['idiotic twitter apps'],idiotic twitter apps,idiotic twitterapp s,idiotictwitterapps,idio tic twitter apps,idiotic twitter a pps,idiotic twitterapps,idiotic twitter app s,i diotic twitter apps,idiotictwitter apps,idioti c twitter apps
747,togs,['togs'],togs,to gs,tog s,t ogs,,,,,,
748,mancity,"['Man City', 'man city']",mancity,ma n city,ma ncity,mancit y,man cit y,m ancity,man city,manci ty,man c ity,manc ity
749,SemperFidelis,['Semper Fidelis'],Semper Fidelis,Semper Fideli s,Sem per Fidelis,SemperFidel is,Semper Fi delis,Semper Fidel is,SemperFidelis,Semper Fi de lis,Semper Fidel i s,Semper Fi deli s
750,adlounge,['ad lounge'],adlounge,a d lounge,a d loung e,adlo unge,adloung e,ad lounge,a dlounge,ad loung e,adl ounge,ad l ounge
751,photos,['photos'],photos,phot os,p hot os,phot o s,photo s,p hotos,ph otos,pho to s,p hoto s,p ho to s
752,mayhemcrew,['mayhem crew'],mayhemcrew,mayhe mcrew,may hemcrew,may he mcrew,mayhem c rew,mayhem cr ew,mayhem crew,may hem crew,mayhe m crew,may he m crew
753,munlei,"['munlei', 'MUNLEI']",munlei,mun lei,m u n lei,m u n le i,munle i,m un lei,m u n l ei,m unlei,mun le i,mu nlei
754,largepussy,['large pussy'],large pussy,l arge pussy,larg e pussy,lar ge pussy,largepussy,l argepussy,la rge pussy,larg epussy,la rgepussy,l ar ge pussy
755,badtiming,['bad timing'],bad timing,bad tim ing,badtim ing,b adtiming,bad t iming,badtiming,b ad timing,ba d timing,ba dtiming,b a d timing
756,scrapbook,['scrapbook'],scrapbook,sc rapbook,s crapbook,scrap b ook,scrap book,sc rap book,s crap book,s c rapbook,scra p book,s c rap book
757,crapsoaplines,['crap soap lines'],crap soap lines,crap so aplines,crap soaplines,crap so ap lines,craps o aplines,crapsoap lines,crap soap line s,c rap soap lines,cr ap soap lines,crapso aplines
758,maximopark,['maximo park'],maximopark,maximo park,maxim opark,maximop ark,max imopark,maxi mopark,max imo park,maxim o park,maxim op ark,maximopa rk
759,Wolves,['Wolves'],Wolves,W o l v e s,Wol ves,W ol v e s,Wol v e s,W olve s,W olves,Wolve s,Wo lves,W ol ves
760,maternalhealth,['maternal health'],maternal health,matern al health,ma ternal health,m aternal health,mate rnal health,maternalhealth,maternal heal th,mater nal health,matern alhealth,mater nalhealth
761,twittertakeover,['twitter takeover'],twitter take over,t witter takeover,twitter takeo ver,twi tter takeover,twitter takeover,twittertakeover,twittertake over,t witter take over,t wittertakeover,twitter take ov er
762,spain,"['spain', 'Spain']",spain,spa in,spai n,spa i n,s p a in,s pain,sp ain,sp a in,s pa in,sp a i n
763,deathwhale,['death whale'],deathwhale,deathw hale,death wha le,death w hale,deathwh ale,death whale,deathwhal e,de athwhale,d eath whale,deat h whale
764,TWOHANDSFLETCHER,"['two hands FLETCHER', 'TWO HANDS FLETCHER']",TWO HANDS FLETCHER,TWOHANDS FLETCHER,TW O HANDS FLETCHER,TWO H ANDS FLETCHER,T WOHANDS FLETCHER,TWOHANDSFLETCHER,TWO HANDSFLETCHER,TWOHAN DS FLETCHER,TW OHANDS FLETCHER,TWO HANDS FLETCH ER
765,Spiritual,"['Spiritual', 'spiritual']",Spiritual,Spiritu al,S piritual,Spirit ual,Spiritua l,Spirit u al,Spi ritual,Sp iritual,Spiritu a l,Sp i ritual
766,erlang,"['erlang', 'Erlang']",erlang,erlan g,e r lang,e rlang,erl an g,er lang,erl ang,erla ng,er l ang,er la ng
767,ridetowork,['ride to work'],ride to work,rideto work,rid e to work,ri deto work,ri de to work,ride towork,ridetowork,r ide to work,rid e towork,ride t o work
768,iihfhockey,['iihf hockey'],iihfhockey,ii hfhockey,iih fhockey,ii h f hockey,ii hf hockey,iihf hockey,iih f hockey,i i hf hockey,ii h fhockey,i i hfhockey
769,noctweetup,['noc tweetup'],noc tweetup,no c tweet up,no ctweet up,no ctweetup,no c tweetup,noctweetup,noc tweet up,noctweet up,noct weetup,noctw eet up
770,Virgin,['Virgin'],Virgin,Vir gin,Virg i n,V irgin,Virgi n,Vi rgin,Virg in,V ir gin,Vir gi n,V irg in
771,pbr09,"['PBR 09', 'pbr09', 'pbr 09']",pbr09,pbr 09,pb r09,p br 0 9,p b r 09,pbr 0 9,pbr0 9,p br09,p br 09,p br0 9
772,3words,['3 words'],3 words,3 word s,3w ords,3wo rds,3w or ds,3words,3word s,3 wor ds,3 wo rds,3 w ords
773,Ducks,['Ducks'],Ducks,D ucks,Du cks,D uc ks,Du ck s,Duck s,D uck s,D u cks,Duc ks,D u c ks
774,ravelry,"['Ravelry', 'ravelry']",ravelry,ravel r y,rave lry,r avelry,ravel ry,ravelr y,rav elry,ra velry,ra v elry,rave lr y
775,indy500,['indy 500'],indy 500,indy5 0 0,indy 5 0 0,in dy500,in dy 500,indy500,indy50 0,indy 50 0,ind y500,ind y 500
776,redshirts,['redshirts'],redshirts,redshirt s,r edshirts,re dshirts,re d shirts,red shirts,red shirt s,reds hirts,r ed shirts,redshi rts
777,error,['error'],error,erro r,err o r,e r r o r,er ro r,err or,er ror,er r or,e rror,er r o r
778,socialmediatv,['social media tv'],social media tv,socialmedia tv,socialmediatv,social media t v,social med ia tv,social mediatv,social mediat v,socialmedia t v,socialmediat v,social me dia tv
779,barcamporlando,"['bar camp orlando', 'barcamp orlando']",barcamporlando,bar camporlando,bar cam porlando,barcampo rlando,barcam porlando,barcamp orlando,bar camp orlando,barcamp or lando,bar campo rlando,bar c am porlando
780,biking,['biking'],biking,bik ing,biki ng,b ik ing,bik in g,bik i ng,b iking,bi king,bikin g,b i king
781,bigweekend,['big weekend'],big weekend,b ig weekend,b igweekend,bigweekend,big week end,bigweek end,bi g weekend,b ig week end,bi gweekend,b i g weekend
782,futuresonic,"['future sonic', 'futuresonic']",future sonic,futures onic,future so nic,future s onic,futureson ic,futures on i c,futuresonic,futures on ic,f uture sonic,future soni c
783,OMGSWINEFLU,['OMG SWINE FLU'],OMG SWINE FLU,OMG SWINE FL U,OMGSWINE FLU,OM G SWINE FLU,OMGS WINEFLU,OMGS WINE FLU,OMG SWINEFLU,OMGS WINE FL U,OMG SWINEF LU,OMG S WINE FLU
784,randomfacts,['random facts'],random facts,random fact s,random f acts,rando mfacts,randomfac ts,randomfacts,randomfact s,randomf acts,random fa cts,random fac ts
785,bcp3,"['bcp 3', 'BCP 3', 'bcp3']",bcp3,bc p3,bcp 3,bc p 3,,,,,,
786,notacon,"['notacon', 'Notacon', 'not a con']",not a con,not acon,no tacon,no taco n,no tac on,notacon,n otacon,notac on,nota con,not a c on
787,truecrypt,['truecrypt'],truecrypt,tru ecrypt,tr uecrypt,true cry pt,truecry pt,true crypt,t rue crypt,tru e crypt,tr ue crypt,t ruecrypt
788,surface,['surface'],surface,surf ace,s ur face,sur f ace,sur fac e,su rface,s urface,sur face,surfac e,su r face
789,expenses,['expenses'],expenses,ex penses,e xpenses,exp en ses,exp ens es,expense s,expens es,e x penses,exp enses,expens e s
790,letdown,['letdown'],let down,le t down,let d own,l e t down,letdown,l et down,le tdown,l etdown,letd own,let dow n
791,secretmission,['secret mission'],secret mission,secretmission,sec retmission,s ecret mission,se cret mission,secret mi ssion,secret m ission,sec ret mission,se cretmission,secret missi on
792,esc09,['ESC 09'],esc09,es c09,e sc09,es c 09,e s c 09,esc 09,esc 0 9,esc0 9,e sc 09,e sc 0 9
793,lostarg,"['LostARG', 'lostarg', 'lost arg']",lostarg,l ostarg,lo starg,lo star g,lostar g,lost arg,los targ,l ost arg,lo sta rg,losta rg
794,itsucks,['it sucks'],it sucks,i t sucks,it suck s,it s ucks,i ts ucks,itsucks,i tsucks,its ucks,itsuck s,itsu cks
795,Halo3,['Halo 3'],Halo 3,Ha lo 3,Hal o 3,Hal o3,H a l o3,Halo3,Ha lo3,H a lo 3,H a lo3,H alo 3
796,SIXX,"['Sixx', 'SIXX']",SIXX,SI XX,SIX X,SI X X,,,,,,
797,Easter,['Easter'],Easter,E aster,E a st er,Easte r,E a s ter,E a s t er,East er,E as ter,E a ster,Ea ster
798,jrztwitterlunch,"['jrz twitter lunch', 'JRZ twitter lunch']",jrz twitter lunch,j rz twitter lunch,jrzt witterlunch,j r z twitter lunch,j rz twitterlunch,jrztwitterlunch,jrztwitter lunch,jrz twitterlunch,jr z twitter lunch,jr ztwitter lunch
799,weathermenRneverright,['weathermen R never right'],weathermen R never right,weathermenRneverright,weather men R never right,weathermen R neverright,weathermen Rnever right,weathermenR never right,weathermen Rneverright,weathermenR neverright,weathermenRn ever right,weather menR never right
800,italy,['italy'],italy,ita ly,ita l y,it a ly,i taly,ital y,it aly,it al y,it a l y,i tal y
801,twitterisstoooooooooopid,['twitter is stoooooooooopid'],twitter is stoooooooooopid,twitteris stoooooooooopid,twitter is stooooooooo opid,twitterisstoooooooooop id,twitteri sstoooooooooopid,twitterisstoooooooooopid,twitter isstoooooooooopid,twitter is stoooooooooop id,twitter is stoooooooo oopid,twitter i s stoooooooooopid
802,pawparty,['paw party'],paw party,pawp arty,paw part y,p awparty,paw par ty,paw p arty,pawparty,p aw party,paw pa rty,pa w party
803,imbot,"['IMbot', 'imbot']",imbot,i m bot,i mbot,im b o t,im b ot,im bot,imbo t,imb ot,i m b o t,im bo t
804,pooram,['pooram'],pooram,poora m,po oram,po or a m,poor am,poor a m,po or am,poo ram,p ooram,p oora m
805,Surface,['Surface'],Surface,S urface,Surfac e,Surfa ce,Su r face,Sur face,Surf ace,S ur face,Su rface,Surf a ce
806,Flashpoint,['Flashpoint'],Flashpoint,F lash point,Flashpo int,Flash po int,Flash point,F lashpoint,Fl ash point,Fl ashpoint,F la shpoint,Fla shpoint
807,sgtweetup,['sg tweet up'],sgtweetup,sg tweet up,s gtweet up,s g tweet up,s g tweetup,sgtweet up,sg tweetup,sgt weetup,s gtweetup,sgt weet up
808,followfriday,['follow friday'],follow friday,follow f riday,follow fr iday,follow frida y,followfriday,follow fri day,f ollow friday,follow f r iday,f ollowfriday,followf riday
809,heartbreak,['heartbreak'],heartbreak,heart break,hear tbreak,heartbrea k,he art break,he artbreak,hear t break,h eart break,heart b reak,h e art break
810,9,['9'],9,,,,,,,,,
811,platformbiased,['platform biased'],platform biased,platform bias ed,platform biase d,plat form biased,platformbiased,platformbias ed,platformbiase d,platform bia sed,platform bias e d,platform bi ased
812,hndate,"['HN Date', 'hn date', 'HN date']",hndate,h n date,hnda te,hnd at e,hn date,hnd ate,h ndate,h nd at e,h nd ate,hnd a te
813,schooltime,['school time'],school time,school t ime,school tim e,s chool time,schooltime,schooltim e,school ti me,schoolti me,schoolt ime,s chooltime
814,tweetdeck,['tweetdeck'],tweetdeck,tweet de ck,tweetd eck,twee t deck,tweetdec k,tweet deck,tweet d eck,twee tdeck,tweet dec k,t weetdeck
815,flyingpig,['flying pig'],flyingpig,fly ing pig,f lying pig,flying p ig,flyingpi g,flying pig,flying pi g,flyingp ig,flyin gpig,fly in gpig
816,ia2009,"['ia 2009', 'ia2009']",ia2009,i a 2009,ia200 9,ia2 0 0 9,ia 2009,ia 20 09,ia 20 0 9,ia 200 9,i a2009,ia 2 0 0 9
817,WiiFit,['Wii Fit'],Wii Fit,Wii F it,WiiF it,W ii F it,WiiFit,Wi i Fit,W ii Fit,Wi iFit,WiiFi t,Wii Fi t
818,Without,['Without'],Without,W ithout,W i thout,Wi th out,With out,W ith out,Wi thout,W i th out,Wit hout,With o ut
819,Barcelona,['Barcelona'],Barcelona,B arcelona,Barcel on a,Ba rcelona,Barc elona,Barcelon a,Barcelo na,Barcel ona,Bar celona,Bar ce lona
820,euruko,['euruko'],euruko,e uruko,eur uk o,eu ru ko,euruk o,eur uko,eu ruko,e uru ko,eur u k o,eu ru k o
821,walmart,"['Walmart', 'walmart']",walmart,walm art,wa lmart,wa l mart,w a lmart,wal mart,walmar t,w almart,walma rt,wal mar t
822,backgroundimage,['background image'],background image,background i mage,background i m age,background im age,backgroundimage,back ground image,back groundimage,background imag e,backgroundimag e,backgroundi mage
823,Bristol,['Bristol'],Bristol,Bri stol,Brist ol,Bris to l,B ristol,Bristo l,Bris tol,Br i stol,Bri st ol,Bri st o l
824,jealous,['jealous'],jealous,je a lous,jealo us,jealou s,j e alous,je alous,jea lous,jeal ous,je al ous,j ealous
825,dogwalkers,['dog walkers'],dog walkers,dogwalker s,dog walk ers,do gwalkers,d ogwalkers,d og walkers,dogwalkers,dog walker s,dogwalk ers,do gwalker s
826,Lomo,['Lomo'],Lomo,L omo,Lo mo,L o mo,,,,,,
827,TheGreenTeen,['The Green Teen'],The Green Teen,TheGreenTeen,T he Green Teen,The Green T een,The GreenTeen,TheGreen Teen,The Green Tee n,Th e Green Teen,T he GreenTeen,T heGreenTeen
828,PistolWink,['Pistol Wink'],PistolWink,Pistol W ink,Pistol W in k,Pistol W i nk,Pistol Wink,Pistol Win k,PistolW ink,PistolWin k,Pistol Wi nk,PistolW in k
829,lacrosse,['lacrosse'],lacrosse,la crosse,l acrosse,la cros se,l across e,lacross e,lac rosse,lacros se,la cross e,lacr osse
830,lupus,['lupus'],lupus,lup us,l up us,l u p u s,l up u s,l u pus,l upus,lu pus,lupu s,l upu s
831,A1GP,"['A1 GP', 'A1GP']",A1GP,A 1 GP,A1 GP,A 1GP,,,,,,
832,indonesia,"['indonesia', 'Indonesia']",indonesia,in donesia,indones i a,indone sia,indonesi a,ind on esia,indones ia,in done sia,ind onesia,ind ones ia
833,fortworth,['fort worth'],fort worth,for t worth,f or t worth,fortwort h,for two rth,fortworth,for tworth,fortwo rth,f ortworth,for tw or th
834,4networking,['4 networking'],4 networking,4 net working,4 network ing,4 network in g,4 networkin g,4 net work ing,4networking,4net working,4 networki ng,4 network i ng
835,ICTEV09,"['ICTEV 09', 'ictev09']",ICTE V09,ICTEV09,ICT EV 09,ICTEV 09,ICT EV0 9,ICT EV09,IC TEV 09,IC TEV09,ICTE V 09,ICT EV 0 9
836,riff,['riff'],riff,rif f,ri ff,r iff,,,,,,
837,comet09,"['comet 09', 'COMET 09', 'comet09']",comet09,comet 09,come t 09,com et09,comet0 9,come t0 9,come t09,comet 0 9,com et 09,come t 0 9
838,OppositeTuesday,"['Opposite Tuesday', 'opposite tuesday']",Opposite Tuesday,OppositeTues day,Op posite Tuesday,Oppos ite Tuesday,Opposit eTuesday,OppositeTuesday,Oppo site Tuesday,Opposite Tues day,Opposit e Tuesday,Oppo siteTuesday
839,sccr18,"['sccr18', 'sccr 18', 'SCCR 18']",sccr18,scc r18,sccr1 8,scc r 18,sc c r 18,sccr 18,sccr 1 8,s cc r18,scc r1 8,s cc r 18
840,the,['the'],the,th e,,,,,,,,
841,misshimalready,['miss him already'],miss him already,miss himalready,miss hi m already,missh i m already,misshim already,miss him al ready,missh im already,miss himal ready,m iss him already,mi ss him already
842,iPhone,"['iphone', 'iPhone']",iPhone,iPhon e,i Phon e,iPh on e,i Ph one,i Phone,iPh one,iP hone,i Ph on e,iPho ne
843,itouch,"['itouch', 'iTouch']",itouch,it ouch,i to uch,i to u ch,i touch,ito uch,i t o u ch,it o u ch,itou ch,it o uch
844,bersetzen,['bersetzen'],bersetzen,berse tzen,bers etzen,bersetze n,bersetz en,berset zen,ber setzen,b ersetzen,bers et zen,ber set zen
845,cusswords,"['cuss words', 'Cuss words']",cuss words,cussword s,c us swords,cus sword s,cusswords,cus swords,cuss word s,cus s words,c usswords,c us s words
846,amazonfail,"['amazon fail', 'Amazon fail']",amazonfail,amaz on fail,amaz onfail,amazon f ail,amazon fa i l,amazon fail,a mazon fail,amazon fa il,amazon fai l,ama zonfail
847,climberpickup,['climber pickup'],climber pick up,c limber pickup,cli mber pickup,c limberpickup,clim ber pickup,climber pickup,climberpickup,climberpick up,c limber pick up,cl imber pickup
848,2wkfilm,['2 wk film'],2 wk film,2 wkfilm,2w kfilm,2 w kfilm,2 wkfi lm,2wk film,2 w k film,2wkfilm,2w k film,2 wkfil m
849,sustnow,['sust now'],sustnow,s ust now,su st now,s u st now,su stnow,sust now,sus t now,s us t now,s ustnow,sustn ow
850,moustachefail,['moustache fail'],moustache fail,moustache fai l,moustache f ail,moustachefai l,moustachefa il,moustachefail,mou stache fail,moustache fa il,mou stachefail,moustachef ail
851,Bored,"['bored', 'Bored']",Bored,Bo red,Bore d,Bor ed,B o re d,B ored,B or ed,B o red,B or e d,Bor e d
852,musicmonday,"['music Monday', 'music monday']",music monday,music mon day,music m on day,musi cmonday,musicmonda y,musicmonday,musicmon day,musicmond ay,music monda y,musicm on day
853,bea09,"['bea09', 'BEA 09', 'bea 09']",be a 09,bea09,be a09,be a 0 9,b e a 09,bea 09,b ea09,b ea 09,bea 0 9,bea0 9
854,painbuddies,['pain buddies'],painbuddies,pa in buddies,pa inbuddies,p ain buddies,p a in buddies,pai n buddies,pain buddies,painbud dies,pain bud dies,p ainbuddies
855,RCCar,['RC Car'],RC Car,RCCar,R C Car,R CCar,RCCa r,R C C ar,RCC ar,RCC a r,RC C a r,RC C ar
856,Stabbity,['Stabbity'],Stabbity,St abbity,Stab bity,Stab bit y,Stabb i ty,Stabbit y,Stabbi ty,S tabbity,Stabb ity,St ab bity
857,Ambients,['Ambients'],Ambients,Ambi ents,Am bients,Amb ients,Ambien t s,Ambient s,Ambien ts,Ambi e nts,Amb i ents,Ambie nts
858,StarTrek,['star trek'],Star Trek,StarTre k,S tar Trek,Star T rek,St a r Trek,StarTrek,Star Tre k,St ar Trek,S t ar Trek,S tarTrek
859,blog,['blog'],blog,blo g,bl og,b log,,,,,,
860,malwarebytes,"['malwarebytes', 'Malwarebytes']",malwarebytes,mal warebytes,malware byte s,malwarebyte s,m alwarebytes,malware bytes,mal ware bytes,malware by tes,malware byt es,ma lwarebytes
861,perth,"['perth', 'Perth']",perth,pert h,pe rth,pe r th,per th,p erth,per t h,p er th,p ert h,p e r th
862,Starbucks,['Starbucks'],Starbucks,Starbuck s,Star buck s,Starb ucks,Star bucks,St arbucks,S tarbucks,S tar bucks,Star b ucks,Star bu cks
863,GoogleChrome,['google chrome'],Google Chrome,Google Chrom e,G oogle Chrome,GoogleChrom e,Google Chro me,GoogleChrome,Go ogle Chrome,Goog le Chrome,Googl eChrome,G oogleChrome
864,LBF09,['LBF 09'],LBF09,LB F09,LB F 0 9,LB F0 9,LBF 09,LB F 09,L BF09,LBF 0 9,LBF0 9,L B F 09
865,News,"['News', 'news']",News,New s,N ews,N ew s,,,,,,
866,feastfriday,['feast friday'],feast friday,f eastfriday,feast fri day,fe astfriday,fea st friday,feastfriday,f east friday,fe ast friday,f east f riday,feast fr iday
867,teched,['teched'],tech ed,tech e d,te ched,t ech ed,tec he d,teched,teche d,t eched,tec hed,t eche d
868,Leinster,['Leinster'],Leinster,Lein ster,Leinst er,Le in ster,Leins ter,L einster,Le i nster,Lei nster,L einst er,Leinste r
869,legendoftheseeker,['legend of the seeker'],legend of the seeker,legendof the seeker,legend ofthe seeker,legendoftheseeker,leg end of the seeker,leg endoftheseeker,legend of th e seeker,legend of the seek er,legendofthe seeker,legend of theseeker
870,robiecreek,['robie creek'],robie creek,robie c reek,robie cree k,robi e creek,ro bie creek,robiecreek,rob ie creek,robie cr eek,robiec reek,r obie creek
